,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,opuwo,-18.0607,13.84,34.21,8.0,5.0,4.55,NA,1663163434.0
120,la primavera,5.4906,-70.4092,28.83,67.0,27.0,2.98,CO,1663163454.0
122,arroyo,41.6096,-4.7969,22.3,60.0,40.0,5.66,ES,1663163455.0
123,mount gambier,-37.8333,140.7667,11.74,95.0,100.0,5.02,AU,1663163456.0
125,linhares,-19.3911,-40.0722,32.21,33.0,0.0,3.32,BR,1663163457.0
126,ugoofaaru,5.6667,73.0,27.47,71.0,89.0,1.75,MV,1663163458.0
127,sao felix do xingu,-6.6447,-51.995,35.5,33.0,11.0,1.98,BR,1663163459.0
128,kalemie,-5.9475,29.1947,27.91,43.0,77.0,2.61,CD,1663163175.0
129,clyde river,70.4692,-68.5914,3.13,100.0,100.0,3.6,CA,1663163459.0
130,pisco,-13.7,-76.2167,16.12,77.0,100.0,4.63,PE,1663163460.0
131,chokurdakh,70.6333,147.9167,3.12,69.0,99.0,3.34,RU,1663163460.0
132,basco,20.4487,121.9702,28.47,81.0,85.0,10.56,PH,1663163462.0
133,boa vista,2.8197,-60.6733,28.99,74.0,40.0,5.66,BR,1663163462.0
134,myaundzha,63.0494,147.1858,1.86,61.0,100.0,0.9,RU,1663163462.0
135,uyemskiy,64.4743,40.8524,16.03,51.0,40.0,3.0,RU,1663163463.0
136,vao,-22.6667,167.4833,20.61,74.0,0.0,5.47,NC,1663163463.0
137,kupang,-10.1667,123.5833,25.8,79.0,100.0,4.73,ID,1663163464.0
138,sembe,1.6481,14.5806,31.68,46.0,78.0,1.15,CG,1663163464.0
139,pietersburg,-23.9045,29.4688,18.47,55.0,20.0,6.17,ZA,1663163290.0
140,kavaratti,10.5669,72.642,27.19,83.0,95.0,5.05,IN,1663163465.0
141,lalibela,12.0333,39.0333,21.66,52.0,76.0,1.34,ET,1663163466.0
142,lavrentiya,65.5833,-171.0,6.67,94.0,100.0,1.0,RU,1663163467.0
143,kodiak,57.79,-152.4072,7.73,93.0,100.0,2.57,US,1663163467.0
144,kaitangata,-46.2817,169.8464,3.62,90.0,20.0,3.76,NZ,1663163468.0
145,vaini,-21.2,-175.2,24.09,94.0,40.0,2.57,TO,1663163469.0
146,bundaberg,-24.85,152.35,16.64,78.0,28.0,2.73,AU,1663163241.0
147,saint-philippe,-21.3585,55.7679,22.77,73.0,85.0,4.1,RE,1663163470.0
148,rocha,-34.4833,-54.3333,15.2,64.0,0.0,4.27,UY,1663163470.0
149,troitskoye,52.9821,84.6757,8.3,53.0,100.0,3.39,RU,1663163471.0
151,mushie,-3.0167,16.9,33.73,39.0,100.0,1.46,CD,1663163224.0
152,abu samrah,35.3029,37.1841,30.18,26.0,0.0,8.65,SY,1663163472.0
153,ponta do sol,32.6667,-17.1,26.35,72.0,31.0,3.05,PT,1663163473.0
156,chhabra,24.6667,76.8333,25.07,92.0,100.0,2.38,IN,1663163261.0
157,bredasdorp,-34.5322,20.0403,26.13,27.0,0.0,5.39,ZA,1663163474.0
158,saint anthony,45.0205,-93.218,17.28,89.0,20.0,3.6,US,1663163475.0
159,kloulklubed,7.0419,134.2556,28.9,73.0,92.0,5.6,PW,1663163475.0
160,labuhan,-6.8844,112.2051,26.8,76.0,9.0,2.06,ID,1663163476.0
161,geraldton,-28.7667,114.6,14.23,82.0,75.0,3.09,AU,1663163476.0
162,tilichiki,60.4667,166.1,4.76,84.0,98.0,3.69,RU,1663163478.0
163,kempen,51.3667,6.4167,15.62,93.0,100.0,2.57,DE,1663163478.0
165,tuy hoa,13.0833,109.3,26.3,86.0,94.0,1.46,VN,1663163480.0
166,saldanha,-33.0117,17.9442,28.03,63.0,3.0,5.44,ZA,1663163480.0
167,saskylakh,71.9167,114.0833,0.0,78.0,97.0,2.54,RU,1663163481.0
168,ekhabi,53.5102,142.9671,10.21,82.0,40.0,5.4,RU,1663163481.0
169,gberia fotombu,9.8833,-11.1667,27.11,73.0,99.0,2.96,SL,1663163482.0
170,severobaykalsk,55.65,109.3167,7.25,65.0,81.0,2.44,RU,1663163483.0
171,kokopo,-4.352,152.2633,25.23,84.0,40.0,4.43,PG,1663163484.0
172,kahului,20.8947,-156.47,25.47,82.0,0.0,5.14,US,1663163484.0
173,lebu,-37.6167,-73.65,12.18,63.0,65.0,1.98,CL,1663163485.0
174,ust-uda,54.1742,103.0304,8.68,67.0,100.0,1.27,RU,1663163486.0
175,ilam,26.9167,87.9167,20.47,96.0,74.0,1.07,NP,1663163449.0
176,ixtapa,20.7,-105.2,26.24,82.0,52.0,0.94,MX,1663163486.0
177,northam,51.0333,-4.2167,19.81,66.0,17.0,4.37,GB,1663163487.0
178,cabedelo,-6.9811,-34.8339,27.37,69.0,31.0,5.87,BR,1663163487.0
179,khatanga,71.9667,102.5,0.61,98.0,100.0,5.18,RU,1663163487.0
180,obihiro,42.9172,143.2044,9.3,84.0,16.0,0.74,JP,1663163248.0
181,terrell,32.736,-96.2753,23.21,71.0,0.0,3.02,US,1663163488.0
182,belmopan,17.25,-88.7667,24.21,94.0,91.0,0.73,BZ,1663163488.0
183,chapais,49.7834,-74.8492,9.88,84.0,100.0,6.2,CA,1663163489.0
184,lata,40.1629,-8.3327,21.62,83.0,97.0,2.78,PT,1663163490.0
185,beringovskiy,63.05,179.3167,6.17,85.0,100.0,3.63,RU,1663163491.0
186,biritiba-mirim,-23.5698,-46.0407,16.88,94.0,100.0,0.4,BR,1663163491.0
187,oranjestad,12.524,-70.027,30.97,66.0,20.0,6.17,AW,1663163492.0
188,airai,-8.9266,125.4092,15.03,73.0,94.0,1.43,TL,1663163492.0
189,mayo,38.8876,-76.5119,21.77,74.0,0.0,5.81,US,1663163493.0
190,butaritari,3.0707,172.7902,27.35,76.0,100.0,6.69,KI,1663163493.0
192,kysyl-syr,63.8986,122.7617,4.78,85.0,71.0,3.43,RU,1663163495.0
193,banyo,6.75,11.8167,23.7,79.0,95.0,2.8,CM,1663163495.0
195,rancho santa margarita,33.6409,-117.6031,19.61,90.0,6.0,0.45,US,1663163496.0
196,puerto ayora,-0.7393,-90.3518,18.08,98.0,100.0,2.68,EC,1663163497.0
197,villa nueva,14.5269,-90.5875,18.95,94.0,75.0,5.14,GT,1663163498.0
199,kirakira,-10.4544,161.9205,26.42,83.0,53.0,4.13,SB,1663163498.0
200,sinnamary,5.3833,-52.95,30.12,63.0,6.0,3.82,GF,1663163499.0
201,barrhead,55.7992,-4.3929,18.8,67.0,21.0,6.71,GB,1663163500.0
202,killybegs,54.6333,-8.45,14.84,73.0,100.0,5.97,IE,1663163500.0
203,liberal,37.0431,-100.921,19.08,63.0,0.0,4.12,US,1663163501.0
204,ribeira grande,38.5167,-28.7,25.22,83.0,40.0,5.66,PT,1663163204.0
206,yellowknife,62.456,-114.3525,5.31,93.0,20.0,2.06,CA,1663163503.0
207,norman wells,65.282,-126.8329,1.02,100.0,75.0,1.03,CA,1663163504.0
208,naryan-mar,67.6713,53.087,10.94,79.0,100.0,7.27,RU,1663163505.0
210,la asuncion,11.0333,-63.8628,28.85,79.0,93.0,5.66,VE,1663163505.0
211,ponta delgada,37.7333,-25.6667,27.5,94.0,75.0,4.12,PT,1663163506.0
212,muddebihal,16.3333,76.1333,24.81,75.0,34.0,8.04,IN,1663163263.0
213,cockburn town,21.4612,-71.1419,28.95,71.0,100.0,7.34,TC,1663163507.0
214,vardo,70.3705,31.1107,6.99,70.0,100.0,3.09,NO,1663163507.0
215,pontianak,-0.0333,109.3333,25.99,94.0,75.0,0.51,ID,1663163508.0
216,hovd,48.0056,91.6419,12.75,39.0,47.0,1.05,MN,1663163211.0
217,cap malheureux,-19.9842,57.6142,23.59,59.0,73.0,3.13,MU,1663163508.0
218,adrar,20.5022,-10.0711,41.58,11.0,9.0,8.48,MR,1663163508.0
219,olafsvik,64.8945,-23.7142,7.84,70.0,100.0,2.02,IS,1663163509.0
220,siparia,10.1333,-61.5,29.88,84.0,25.0,0.45,TT,1663163509.0
221,ginda,30.6945,78.4932,18.64,89.0,92.0,1.34,IN,1663163510.0
222,ketchikan,55.3422,-131.6461,7.26,93.0,0.0,0.0,US,1663163510.0
224,lincoln,40.8,-96.667,22.85,65.0,0.0,2.06,US,1663163216.0
225,porto novo,6.4965,2.6036,28.9,60.0,55.0,4.42,BJ,1663163512.0
226,bandarbeyla,9.4942,50.8122,26.85,75.0,32.0,15.05,SO,1663163512.0
227,bamboo,18.3922,-77.2643,24.13,71.0,91.0,2.23,JM,1663163512.0
228,maloy,61.9353,5.1136,13.74,67.0,100.0,5.52,NO,1663163512.0
229,sioux lookout,50.1001,-91.917,4.04,100.0,40.0,0.0,CA,1663163513.0
230,sangueya,10.7,-14.3667,26.34,83.0,99.0,3.57,GN,1663163513.0
231,ariano irpino,41.1489,15.0833,29.99,49.0,0.0,7.2,IT,1663163514.0
232,port blair,11.6667,92.75,27.02,83.0,75.0,2.06,IN,1663163282.0
233,srednekolymsk,67.45,153.6833,2.44,70.0,10.0,3.45,RU,1663163514.0
234,batemans bay,-35.7167,150.1833,12.28,92.0,96.0,2.04,AU,1663163515.0
235,tela,15.7833,-87.45,23.97,94.0,75.0,0.0,HN,1663163516.0
236,cherskiy,68.75,161.3,2.01,91.0,100.0,2.57,RU,1663163517.0
237,paamiut,61.994,-49.6678,6.81,72.0,100.0,2.34,GL,1663163517.0
238,baoning,25.3378,110.026,26.92,74.0,0.0,2.0,CN,1663163518.0
239,cumra,37.5732,32.7745,24.8,25.0,0.0,3.06,TR,1663163518.0
240,shu,43.5983,73.7614,18.87,25.0,0.0,9.11,KZ,1663163519.0
241,husavik,66.0449,-17.3389,6.07,75.0,95.0,4.24,IS,1663163520.0
243,tazovskiy,67.4667,78.7,6.36,94.0,100.0,3.96,RU,1663163522.0
244,nyrob,60.733,56.7202,10.91,68.0,20.0,1.52,RU,1663163522.0
245,tuktoyaktuk,69.4541,-133.0374,1.0,86.0,100.0,8.23,CA,1663163523.0
247,afsin,38.2477,36.914,25.13,16.0,0.0,3.22,TR,1663163525.0
248,shache,38.4167,77.2406,25.53,19.0,8.0,2.3,CN,1663163525.0
249,luderitz,-26.6481,15.1594,18.22,63.0,4.0,5.46,NA,1663163455.0
250,antonovo,43.15,26.1667,25.43,27.0,37.0,3.48,BG,1663163526.0
251,bonthe,7.5264,-12.505,25.78,86.0,100.0,6.12,SL,1663163527.0
252,isangel,-19.55,169.2667,23.03,88.0,9.0,3.36,VU,1663163527.0
253,rumphi,-11.0186,33.8575,24.53,35.0,88.0,5.54,MW,1663163327.0
254,cap-chat,49.1001,-66.6821,15.0,94.0,100.0,1.54,CA,1663163528.0
255,vaitape,-16.5167,-151.75,25.19,74.0,36.0,9.77,PF,1663163529.0
256,tyulgan,52.3405,56.166,18.34,30.0,92.0,6.42,RU,1663163529.0
257,pangkalanbuun,-2.6833,111.6167,23.3,96.0,97.0,0.96,ID,1663163530.0
258,muros,42.7762,-9.0603,22.27,80.0,76.0,7.56,ES,1663163307.0
259,sitka,57.0531,-135.33,13.94,72.0,75.0,3.6,US,1663163531.0
260,hasaki,35.7333,140.8333,22.38,74.0,100.0,7.98,JP,1663163237.0
261,zapolyarnyy,69.4154,30.8136,6.6,95.0,100.0,6.94,RU,1663163532.0
262,longyearbyen,78.2186,15.6401,1.91,80.0,75.0,1.03,SJ,1663163344.0
263,leningradskiy,69.3833,178.4167,1.8,99.0,100.0,1.71,RU,1663163532.0
264,beloha,-25.1667,45.05,20.46,62.0,97.0,7.37,MG,1663163326.0
265,hualmay,-11.0964,-77.6139,16.53,77.0,48.0,3.26,PE,1663163533.0
266,filadelfia,39.9523,-75.1638,21.7,69.0,20.0,6.69,US,1663163534.0
267,tibati,6.4667,12.6333,24.48,73.0,100.0,1.36,CM,1663163534.0
269,kharian,32.8149,73.8636,29.61,60.0,0.0,1.39,PK,1663163535.0
270,contamana,-7.3333,-75.0167,31.28,50.0,22.0,1.57,PE,1663163535.0
271,jacareacanga,-6.2222,-57.7528,34.53,37.0,78.0,2.16,BR,1663163536.0
272,zinder,13.8072,8.9881,33.98,55.0,20.0,3.6,NE,1663163536.0
273,san jose de ocoa,18.55,-70.5,28.01,58.0,100.0,1.09,DO,1663163536.0
274,provideniya,64.3833,-173.3,7.77,94.0,100.0,1.71,RU,1663163537.0
275,hauterive,46.0901,3.4459,25.24,79.0,95.0,0.67,FR,1663163537.0
276,hay river,60.8156,-115.7999,4.99,81.0,40.0,2.06,CA,1663163538.0
277,severo-kurilsk,50.6789,156.125,9.8,88.0,9.0,6.33,RU,1663163539.0
278,andrelandia,-21.7397,-44.3092,26.51,29.0,99.0,2.27,BR,1663163539.0
280,saint-francois,46.4154,3.9054,24.69,69.0,75.0,5.14,FR,1663163540.0
281,pangnirtung,66.1451,-65.7125,6.0,93.0,100.0,0.0,CA,1663163541.0
282,laguna,38.421,-121.4238,15.99,85.0,0.0,4.12,US,1663163541.0
283,bermejo,-32.8833,-68.8,13.95,30.0,0.0,2.57,AR,1663163542.0
284,mogadishu,2.0371,45.3438,27.93,74.0,20.0,10.29,SO,1663163525.0
285,poum,-20.2333,164.0167,23.24,75.0,81.0,6.91,NC,1663163543.0
286,broken hill,-31.95,141.4333,15.24,68.0,75.0,5.13,AU,1663163543.0
287,san miguel,13.4833,-88.1833,23.38,96.0,100.0,0.59,SV,1663163543.0
288,lompoc,34.6391,-120.4579,16.12,95.0,20.0,2.06,US,1663163544.0
289,aksu,41.1231,80.2644,25.73,23.0,0.0,1.92,CN,1663163544.0
290,bethel,41.3712,-73.414,20.86,72.0,0.0,2.06,US,1663163544.0
291,turukhansk,65.8167,87.9833,5.62,95.0,100.0,2.93,RU,1663163545.0
292,kidal,18.4411,1.4078,39.51,15.0,88.0,1.19,ML,1663163545.0
293,vila velha,-20.3297,-40.2925,29.97,59.0,0.0,5.66,BR,1663163546.0
294,meulaboh,4.1363,96.1285,26.14,80.0,100.0,0.75,ID,1663163546.0
295,nanortalik,60.1432,-45.2371,8.35,72.0,79.0,0.12,GL,1663163547.0
296,kodinsk,58.6881,99.1844,6.44,66.0,94.0,0.93,RU,1663163376.0
297,whitehorse,60.7161,-135.0538,10.43,62.0,40.0,8.75,CA,1663163548.0
298,ramgarh,23.6333,85.5167,27.03,93.0,100.0,2.51,IN,1663163549.0
299,saint-pierre,-21.3393,55.4781,22.82,78.0,40.0,8.75,RE,1663163549.0
300,miles city,46.4083,-105.8406,16.54,67.0,0.0,3.09,US,1663163550.0
301,fukuma,33.7667,130.4667,29.05,75.0,18.0,3.9,JP,1663163550.0
302,gat,31.61,34.7642,29.67,12.0,0.0,5.87,IL,1663163551.0
303,concordia,-31.393,-58.0209,15.04,77.0,0.0,4.12,AR,1663163551.0
305,esil,51.9556,66.4042,13.76,42.0,17.0,1.5,KZ,1663163552.0
306,hofn,64.2539,-15.2082,11.01,58.0,20.0,7.72,IS,1663163553.0
307,marrakesh,31.6315,-8.0083,28.04,47.0,40.0,2.06,MA,1663163553.0
309,shelburne,44.0787,-80.2041,18.2,93.0,48.0,6.86,CA,1663163554.0
310,bengkulu,-3.8004,102.2655,24.97,88.0,100.0,3.39,ID,1663163555.0
311,chumikan,54.7183,135.315,10.91,56.0,67.0,5.64,RU,1663163555.0
312,vallenar,-28.5708,-70.7581,19.7,25.0,0.0,1.2,CL,1663163555.0
313,dongsheng,39.8161,109.9776,17.06,54.0,3.0,3.99,CN,1663163556.0
314,chernyanka,50.9409,37.8069,9.9,94.0,100.0,2.8,RU,1663163557.0
315,iskateley,67.6803,53.1512,10.89,79.0,100.0,7.25,RU,1663163557.0
316,bulgan,48.8125,103.5347,8.25,83.0,100.0,2.08,MN,1663163558.0
317,tiksi,71.6872,128.8694,2.09,98.0,100.0,2.84,RU,1663163558.0
318,amuntai,-2.4177,115.2494,22.78,95.0,100.0,0.7,ID,1663163558.0
319,esperance,-33.8667,121.9,11.91,79.0,28.0,13.94,AU,1663163559.0
320,valleyview,55.0667,-117.2859,2.02,100.0,0.0,2.57,CA,1663163560.0
321,vila franca do campo,37.7167,-25.4333,27.33,81.0,22.0,4.83,PT,1663163560.0
322,roald,62.5833,6.1333,14.31,76.0,75.0,4.63,NO,1663163561.0
323,kieta,-6.2167,155.6333,25.26,84.0,38.0,1.52,PG,1663163561.0
324,guerrero negro,27.9769,-114.0611,22.15,80.0,0.0,2.09,MX,1663163562.0
325,great falls,47.5002,-111.3008,14.27,94.0,100.0,0.0,US,1663163563.0
326,hammerfest,70.6634,23.6821,7.25,70.0,75.0,5.14,NO,1663163563.0
327,lazaro cardenas,17.9583,-102.2,25.47,83.0,100.0,1.79,MX,1663163565.0
328,susanville,40.4163,-120.653,3.91,75.0,0.0,0.0,US,1663163565.0
329,ternate,0.8,127.4,26.96,78.0,15.0,1.92,ID,1663163566.0
330,namibe,-15.1961,12.1522,25.35,65.0,0.0,3.09,AO,1663163566.0
331,tanete,-3.9443,119.7848,24.86,83.0,100.0,3.52,ID,1663163567.0
332,aktau,43.65,51.2,24.32,52.0,0.0,6.96,KZ,1663163568.0
333,ewo,-0.8725,14.8206,33.88,37.0,38.0,1.43,CG,1663163568.0
334,santo andre,-23.6639,-46.5383,16.76,99.0,75.0,2.57,BR,1663163569.0
335,liepaja,56.5419,21.0367,16.99,77.0,20.0,7.2,LV,1663163570.0
336,genhe,50.7833,121.5167,11.0,69.0,98.0,2.12,CN,1663163570.0
337,anadyr,64.75,177.4833,5.28,86.0,75.0,2.0,RU,1663163571.0
338,tono,39.3167,141.5333,15.21,88.0,97.0,0.45,JP,1663163560.0
339,urussanga,-28.5178,-49.3208,19.63,60.0,100.0,2.39,BR,1663163571.0
343,carnarvon,-24.8667,113.6333,18.24,64.0,15.0,11.22,AU,1663163472.0
344,mayumba,-3.432,10.6554,25.41,75.0,78.0,4.43,GA,1663163573.0
345,baoqing,46.3317,132.2111,11.98,80.0,89.0,2.07,CN,1663163574.0
346,flinders,-34.5833,150.8552,14.1,77.0,84.0,1.79,AU,1663163356.0
347,eureka,40.8021,-124.1637,12.18,93.0,81.0,1.98,US,1663163574.0
348,khakhea,-24.6895,23.494,28.81,19.0,0.0,5.32,BW,1663163575.0
349,aykhal,66.0,111.5,0.82,92.0,76.0,6.02,RU,1663163575.0
350,goure,13.9835,10.2704,35.57,29.0,94.0,1.25,NE,1663163575.0
